pid,pid_name
03F00917,LaserJet 3330
03F00924,Modular Smartcard Keyboard
03F00A01,ScanJet 2400c
03F00A17,color LaserJet 3700
03F00B01,ScanJet 82x0C
03F00B0C,Wireless Keyboard and Optical Mouse receiver
03F00B17,LaserJet 2300d
03F00C17,LaserJet 1010
03F00C24,Bluetooth Dongle
03F00D12,OfficeJet 9100 series
03F00D17,LaserJet 1012
03F00E17,LaserJet 1015
03F00F0C,Wireless Keyboard and Optical Mouse receiver
03F00F11,OfficeJet V40
03F00F12,Printing Support
03F00F17,LaserJet 1150
03F01001,Photo Scanner 1000
03F01002,PhotoSmart 140 series
03F01004,DeskJet 970c/970cse
03F01005,ScanJet 5400c
03F01011,OfficeJet V40xi
03F01016,Jornada 548 / iPAQ HW6515 Pocket PC
03F01017,LaserJet 1300
03F01024,Smart Card Keyboard
03F01027,Virtual keyboard and mouse
03F01102,PhotoSmart 240 series
03F01104,DeskJet 959c
03F01105,ScanJet 5470c/5490c
03F01111,OfficeJet v60
03F01116,Jornada 568 Pocket PC
03F01117,LaserJet 1300n
03F01151,PSC-750xi Printer/Scanner/Copier
03F01202,PhotoSmart 320 series
03F01204,DeskJet 930c
03F01205,ScanJet 4500C/5550C
03F01211,OfficeJet v60xi
03F01217,LaserJet 2300L
03F01302,PhotoSmart 370 series
03F01305,ScanJet 4570c
03F01311,OfficeJet V30
03F01312,DeskJet 460
03F01317,LaserJet 1005
03F01327,iLO Virtual Hub
03F01405,ScanJet 3670
03F01411,PSC 750
03F01424,f2105 Monitor Hub
03F01502,PhotoSmart 420 series
03F01504,DeskJet 920c
03F0150C,Mood Lighting (Microchip Technology Inc.)
03F01511,PSC 750xi
03F01512,Printing Support
03F01517,color LaserJet 3500
03F01524,Smart Card Keyboard - KR
03F01602,PhotoSmart 330 series
03F01604,DeskJet 940c
03F01605,ScanJet 5530C PhotoSmart
03F01611,psc 780
03F01617,LaserJet 3015
03F0161D,Wireless Rechargeable Optical Mouse (HID)
03F01624,Smart Card Keyboard - JP
03F01702,PhotoSmart 380 series
03F01704,DeskJet 948C
03F01705,ScanJet 5590
03F01711,psc 780xi
03F01712,Printing Support
03F01717,LaserJet 3020
03F0171D,Bluetooth 2.0 Interface [Broadcom BCM2045]
03F01801,Inkjet P-2000U
03F01802,PhotoSmart 470 series
03F01804,DeskJet 916C
03F01805,ScanJet 7650
03F01811,PSC 720
03F01812,OfficeJet Pro K550
03F01817,LaserJet 3030
03F0181D,Bluetooth 2.0 Interface
03F01902,PhotoSmart A430 series
03F01904,DeskJet 3820
03F01911,OfficeJet V45
03F01917,LaserJet 3380
03F01A02,PhotoSmart A510 series
03F01A11,OfficeJet 5100 series
03F01A17,color LaserJet 4650
03F01B02,PhotoSmart A610 series
03F01B04,DeskJet 3810
03F01B05,ScanJet 4850C/4890C
03F01B07,Premium Starter Webcam
03F01C02,PhotoSmart A710 series
03F01C17,Color LaserJet 2550l
03F01D02,PhotoSmart A310 series
03F01D17,LaserJet 1320
03F01E02,PhotoSmart A320 Printer series
03F01E11,PSC-950
03F01E17,LaserJet 1160 series
03F01F02,PhotoSmart A440 Printer series
03F01F11,PSC 920
03F01F12,OfficeJet Pro K5300
03F01F17,color LaserJet 5550
03F01F1D,un2400 Gobi Wireless Modem
03F02001,Floppy
03F02002,Hub
03F02004,DeskJet 640c
03F02005,ScanJet 3570c
03F02012,OfficeJet Pro K5400
03F0201D,un2400 Gobi Wireless Modem (QDL mode)
03F02102,PhotoSmart 7345
03F02104,DeskJet 630c
03F02112,OfficeJet Pro L7500
03F0211D,Sierra MC5725 [ev2210]
03F02202,PhotoSmart 7600 series
03F02205,ScanJet 3500c
03F02212,OfficeJet Pro L7600
03F02217,color LaserJet 9500 MFP
03F02302,PhotoSmart 7600 series
03F02304,DeskJet 656c
03F02305,ScanJet 3970c
03F02311,OfficeJet d series
03F02312,OfficeJet Pro L7700
03F02317,LaserJet 4350
03F0231D,4 GB Flash Drive
03F02402,PhotoSmart 7700 series
03F02404,Deskjet F2280 series
03F02405,ScanJet 4070 PhotoSmart
03F02417,LaserJet 4250
03F0241D,Gobi 2000 Wireless Modem (QDL mode)
03F02424,LP1965 19 Monitor Hub
03F02502,PhotoSmart 7700 series
03F02504,DeskJet F4200 series
03F02505,ScanJet 3770
03F02512,OfficeJet Pro L7300
03F02517,LaserJet 2410
03F0251D,Gobi 2000 Wireless Modem
03F02524,LP3065 30 Monitor Hub
03F02602,PhotoSmart A520 series
03F02605,ScanJet 3800c
03F02611,OfficeJet 7100 series
03F02617,Color LaserJet 2820 series
03F02624,Pole Display (HP522 2 x 20 Line Display)
03F02702,PhotoSmart A620 series
03F02704,DeskJet 915
03F02717,Color LaserJet 2830
03F02811,PSC-2100
03F02817,Color LaserJet 2840
03F02902,PhotoSmart A820 series
03F02911,PSC 2200
03F02917,LaserJet 2420
03F02A11,PSC 2150 series
03F02A17,LaserJet 2430
03F02B11,PSC 2170 series
03F02B17,LaserJet 1020
03F02C12,Officejet J4680
03F02C17,LaserJet 1022
03F02C24,Logitech M-UAL-96 Mouse
03F02D05,Scanjet 7000
03F02D11,OfficeJet 6110
03F02D17,Printing Support
03F02E11,PSC 1000
03F02E17,LaserJet 2600n
03F02E24,LP2275w Monitor Hub
03F02F11,PSC 1200
03F02F17,EWS 2605dn
03F02F24,LP2475w Monitor Hub
03F03002,PhotoSmart P1000
03F03004,DeskJet 980c
03F03005,ScanJet 4670v
03F03011,PSC 1100 series
03F03017,Printing Support
03F03102,PhotoSmart P1100 Printer w/ Card Reader
03F03104,DeskJet 960c
03F03111,OfficeJet 4100 series
03F03117,EWS 2605dtn
03F0311D,Atheros AR9285 Malbec Bluetooth Adapter
03F03202,PhotoSmart 1215
03F03207,4 GB flash drive
03F03211,OfficeJet 4105 series
03F03217,LaserJet 3050
03F03302,PhotoSmart 1218
03F03304,DeskJet 990c
03F03312,OfficeJet J6410
03F03317,LaserJet 3052
03F03402,PhotoSmart 1115
03F03404,DeskJet 6122
03F03417,LaserJet 3055
03F03502,PhotoSmart 230
03F03504,DeskJet 6127c
03F03511,PSC 2300
03F03517,LaserJet 3390
03F03602,PhotoSmart 1315
03F03611,PSC 2410 PhotoSmart
03F03617,Color LaserJet 2605
03F03711,PSC 2500
03F03717,EWS UPD
03F03724,Webcam
03F03802,PhotoSmart 100
03F03807,c485w Flash Drive
03F03817,LaserJet P2015 series
03F03902,PhotoSmart 130
03F03A02,PhotoSmart 7150
03F03A11,OfficeJet 5500 series
03F03A17,Printing Support
03F03B02,PhotoSmart 7150~
03F03B05,Scanjet N8460
03F03B11,PSC 1300 series
03F03B17,LaserJet M1005 MFP
03F03C02,PhotoSmart 7350
03F03C11,PSC 1358
03F03C17,EWS UPD
03F03D02,PhotoSmart 7350~
03F03D11,OfficeJet 4215
03F03D17,LaserJet P1005
03F03E02,PhotoSmart 7550
03F03E17,LaserJet P1006
03F03F02,PhotoSmart 7550~
03F03F11,PSC-1315/PSC-1317
03F04002,PhotoSmart 635/715/720/735/935 (storage)
03F04004,cp1160
03F04102,PhotoSmart 618
03F04105,ScanJet 4370
03F04111,OfficeJet 7200 series
03F04117,LaserJet 1018
03F04202,PhotoSmart 812
03F04205,ScanJet G3010
03F04211,OfficeJet 7300 series
03F04217,EWS CM1015
03F04302,PhotoSmart 850 (ptp)
03F04305,ScanJet G3110
03F04311,OfficeJet 7400 series
03F04317,Color LaserJet CM1017
03F04402,PhotoSmart 935 (ptp)
03F04417,EWS UPD
03F04502,PhotoSmart 945 (PTP mode)
03F04505,ScanJet G4010
03F04507,External HDD
03F04511,PhotoSmart 2600
03F04512,E709n [Officejet 6500 Wireless]
03F04517,EWS UPD
03F04605,ScanJet G4050
03F04611,PhotoSmart 2700
03F04717,Color LaserJet CP1215
03F04811,PSC 1600
03F04911,PSC 2350
03F04B11,OfficeJet 6200
03F04C11,PSC 1500 series
03F04C17,EWS UPD
03F04D11,PSC 1400
03F04D17,EWS UPD
03F04E11,PhotoSmart 2570 series
03F04F11,OfficeJet 5600 (USBHUB)
03F04F17,Color LaserJet CM1312 MFP
03F05004,DeskJet 995c
03F05011,PhotoSmart 3100 series
03F05017,EWS UPD
03F05111,PhotoSmart 3200 series
03F05211,PhotoSmart 3300 series
03F05311,OfficeJet 6300
03F05312,Officejet Pro 8500A
03F05411,OfficeJet 4300
